Scheme Name,Department,Eligibility Count,Rule Count,Benefit Count,Document Count,Caste Tags,Beneficiary Tags,Level Tags
Savitribai Phule Scholarship for 5th to 7th standard Girls of Other Backward Class Category,"OBC, SEBC, VJNT & SBC Welfare Department",4,5,0,0,1,1,1
Savitribai Phule Scholarship for 8th to 10th standard Girls of Other Backward Class Category,"OBC, SEBC, VJNT & SBC Welfare Department",4,5,0,0,2,1,1
Savitribai Phule Scholarship for VJNT and SBC Girl Students Studying in 5th to 7th Standard,"OBC, SEBC, VJNT & SBC Welfare Department",4,5,0,0,2,1,1
Savitribai Phule Scholarship for VJNT and SBC Girl Students Studying in 8th to 10th Standard,"OBC, SEBC, VJNT & SBC Welfare Department",4,5,0,0,3,1,1
Meritorious Scholarships to VJNT SBC students Studying in Secondary Schools(Only Mumbai),"OBC, SEBC, VJNT & SBC Welfare Department",5,5,0,0,2,0,1
Payment of Tuition Fees & Exam Fees of Students belonging to VJNT & SBC categories studying in Secondary school,"OBC, SEBC, VJNT & SBC Welfare Department",4,4,0,0,2,0,2
Maintenance Allowance to Students studying in Sainik Schools,"OBC, SEBC, VJNT & SBC Welfare Department",5,4,0,7,3,1,1
Meritorious Scholarships to VJNT SBC students Studying in Secondary Schools(ZP),"OBC, SEBC, VJNT & SBC Welfare Department",5,5,0,0,2,0,1
Savitribai Phule Scholarship for girl's students studying in 5th to 10th std.,Social Justice and Special Assistance Department,5,5,0,0,1,1,1
Government of India Scholarship for 9th and 10th std. - CSS,Social Justice and Special Assistance Department,4,5,4,0,1,0,2
Pre-matric Scholarships to Children of those who are engaged in unclean occupation. - CSS,Social Justice and Special Assistance Department,6,3,0,8,0,0,1
Maintenance Allowance to SC Students studying in Sainik Schools,Social Justice and Special Assistance Department,4,5,2,0,2,1,1
Maharshi Vitthal Ramji Shinde Pre-Matric tuition fee and exam fee (Freeship) Scheme,Social Justice and Special Assistance Department,4,4,0,0,1,0,2
Pre-matric Merit Scholarship for SC students studying in 5th to 10th std,Social Justice and Special Assistance Department,4,4,0,0,1,0,1
Pre-matric Scholarship for Persons with Disabilities,Persons with Disabilities Welfare Department,7,6,0,8,1,2,2
Dr Punjabrao Deshmukh Vastigruh Nirvah Bhatta Yojna,Directorate of Technical Education,14,7,12,0,3,1,3
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna(EBC),Directorate of Technical Education,12,8,4,0,4,1,3
Scholarship for students of minority communities pursuing Higher and Professional courses,Directorate of Technical Education,13,14,1,0,3,1,4
Assistance to Meritorious Students scholarship - Junior Level,Directorate of Higher Education,8,5,1,0,1,2,4
Assistance to Meritorious Students scholarship - Senior Level,Directorate of Higher Education,8,5,1,0,1,2,3
Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojna (DHE),Directorate of Higher Education,16,10,13,0,4,2,5
Education Concession to the Children Freedom Fighter,Directorate of Higher Education,6,5,5,0,2,0,3
Education Concession to the Children of Ex-Servicemen,Directorate of Higher Education,7,5,1,0,5,2,3
Eklavya Scholarship,Directorate of Higher Education,15,10,1,0,4,1,3
Government Research Adhichatra,Directorate of Higher Education,12,6,2,0,4,0,3
Government Vidyaniketan Scholarship,Directorate of Higher Education,4,5,2,0,4,0,3
Jawaharlal Nehru University Scholarship,Directorate of Higher Education,6,4,2,0,4,0,3
Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Scheme,Directorate of Higher Education,12,8,8,0,4,0,4
Scholarship to Meritorious students possessing Mathematics /Physics,Directorate of Higher Education,5,7,1,0,1,0,1
State Government Daxshina Adhichatra Scholarship,Directorate of Higher Education,8,8,1,0,1,1,3
State Government Open Merit Scholarship,Directorate of Higher Education,6,6,1,0,1,0,2
State Minority Scholarship Part II (DHE),Directorate of Higher Education,12,10,1,0,3,1,3
Dr Panjabrao Deshmukh Hostel Maintenance Allowance,Directorate of Medical Education and Research,14,9,6,0,4,1,4
